date,home,away,first_downs_opp_homeAvg,first_downs_homeAvg,third_downs_opp_homeAvg,third_downs_homeAvg,fourth_downs_opp_homeAvg,fourth_downs_homeAvg
9/5/2002,Giants,49ers,13,21,4,9,0,9
9/8/2002,Bengals,Chargers,27,13,6,4,0,4
9/8/2002,Panthers,Ravens,15,15,5,5,0,5
9/8/2002,Texans,Cowboys,11,13,2,2,0,2
9/8/2002,Buccaneers,Saints,21,19,10,7,0,7
9/8/2002,Broncos,Rams,15,18,3,2,0,2
9/8/2002,Jaguars,Colts,18,19,9,8,0,8
9/8/2002,Bears,Vikings,19,20,5,7,0,7
9/8/2002,Titans,Eagles,17,22,7,6,1,6
9/8/2002,Raiders,Seahawks,14,27,1,7,2,7
9/8/2002,Redskins,Cardinals,14,21,4,9,0,9
9/8/2002,Bills,Jets,18,26,2,7,0,7
9/8/2002,Packers,Falcons,22,29,4,8,0,8
9/8/2002,Browns,Chiefs,24,24,5,4,0,4
9/8/2002,Dolphins,Lions,15,27,7,6,0,6
9/9/2002,Patriots,Steelers,20,20,4,5,2,5
9/15/2002,Ravens,Buccaneers,17,12,6,4,0,4
9/15/2002,Jets,Patriots,24,9,10,1,2,1
9/15/2002,Falcons,Bears,13,19,4,5,0,5
9/15/2002,Colts,Dolphins,17,29,5,4,0,4
9/15/2002,Seahawks,Cardinals,19,26,6,4,0,4
9/15/2002,49ers,Broncos,21,18,5,8,0,8
9/15/2002,Chiefs,Jaguars,19,18,7,6,1,6
9/15/2002,Steelers,Raiders,27,14,12,4,0,4
9/15/2002,Browns,Bengals,28,15,9,4,0,4
9/15/2002,Cowboys,Titans,19,14,7,4,1,4
9/15/2002,Rams,Giants,16,18,6,3,0,3
9/15/2002,Chargers,Texans,7,16,1,4,1,4
9/15/2002,Panthers,Lions,12,20,1,3,0,3
9/15/2002,Saints,Packers,18,16,3,7,0,7
9/15/2002,Vikings,Bills,26,31,4,7,0,7
9/16/2002,Redskins,Eagles,22,11,7,3,0,3
9/22/2002,Texans,Colts,16,10,6,3,0,3
9/22/2002,Giants,Seahawks,7,21,4,8,0,8
9/22/2002,Vikings,Panthers,20,13,6,2,0,2
9/22/2002,Cardinals,Chargers,19,15,7,7,0,7
9/22/2002,49ers,Redskins,12,22,4,6,0,6
9/22/2002,Bears,Saints,18,21,4,6,0,6
9/22/2002,Broncos,Bills,17,22,6,3,0,3
9/22/2002,Titans,Browns,26,13,8,3,0,3
9/22/2002,Dolphins,Jets,13,21,3,6,1,6
9/22/2002,Falcons,Bengals,11,18,5,5,0,5
9/22/2002,Lions,Packers,22,14,12,3,0,3
9/22/2002,Patriots,Chiefs,21,27,6,8,0,8
9/22/2002,Eagles,Cowboys,18,26,4,3,0,3
9/23/2002,Buccaneers,Rams,21,14,5,3,1,3
9/29/2002,Bengals,Buccaneers,17,11,4,2,0,2
9/29/2002,Rams,Cowboys,17,19,5,5,0,5
9/29/2002,Steelers,Browns,13,21,5,5,0,5
