date,home,away,winner,score_home,score_away
9/5/2002,Giants,49ers,0,13,16
9/8/2002,Bengals,Chargers,0,6,34
9/8/2002,Panthers,Ravens,1,10,7
9/8/2002,Texans,Cowboys,1,19,10
9/8/2002,Buccaneers,Saints,0,20,26
9/8/2002,Broncos,Rams,1,23,16
9/8/2002,Jaguars,Colts,0,25,28
9/8/2002,Bears,Vikings,1,27,23
9/8/2002,Titans,Eagles,1,27,24
9/8/2002,Raiders,Seahawks,1,31,17
9/8/2002,Redskins,Cardinals,1,31,23
9/8/2002,Bills,Jets,0,31,37
9/8/2002,Packers,Falcons,1,37,34
9/8/2002,Browns,Chiefs,0,39,40
9/8/2002,Dolphins,Lions,1,49,21
9/9/2002,Patriots,Steelers,1,30,14
9/15/2002,Ravens,Buccaneers,0,0,25
9/15/2002,Jets,Patriots,0,7,44
9/15/2002,Falcons,Bears,0,13,14
9/15/2002,Colts,Dolphins,0,13,21
9/15/2002,Seahawks,Cardinals,0,13,24
9/15/2002,49ers,Broncos,0,14,24
9/15/2002,Chiefs,Jaguars,0,16,23
9/15/2002,Steelers,Raiders,0,17,30
9/15/2002,Browns,Bengals,1,20,7
9/15/2002,Cowboys,Titans,1,21,13
9/15/2002,Rams,Giants,0,21,26
9/15/2002,Chargers,Texans,1,24,3
9/15/2002,Panthers,Lions,1,31,7
9/15/2002,Saints,Packers,1,35,20
9/15/2002,Vikings,Bills,0,39,45
9/16/2002,Redskins,Eagles,0,7,37
9/22/2002,Texans,Colts,0,3,23
9/22/2002,Giants,Seahawks,1,9,6
9/22/2002,Vikings,Panthers,0,14,21
9/22/2002,Cardinals,Chargers,0,15,23
9/22/2002,49ers,Redskins,1,20,10
9/22/2002,Bears,Saints,0,23,29
9/22/2002,Broncos,Bills,1,28,23
9/22/2002,Titans,Browns,0,28,31
9/22/2002,Dolphins,Jets,1,30,3
9/22/2002,Falcons,Bengals,1,30,3
9/22/2002,Lions,Packers,0,31,37
9/22/2002,Patriots,Chiefs,1,41,38
9/22/2002,Eagles,Cowboys,1,44,13
9/23/2002,Buccaneers,Rams,1,26,14
9/29/2002,Bengals,Buccaneers,0,7,35
9/29/2002,Rams,Cowboys,0,10,13
9/29/2002,Steelers,Browns,1,16,13
9/29/2002,Packers,Panthers,1,17,14
9/29/2002,Cardinals,Giants,1,21,7
9/29/2002,Chargers,Patriots,1,21,14
9/29/2002,Lions,Saints,1,26,21
9/29/2002,Jaguars,Jets,1,28,3
9/29/2002,Bills,Bears,1,33,27
9/29/2002,Eagles,Texans,1,35,17
9/29/2002,Seahawks,Vikings,1,48,23
9/29/2002,Chiefs,Dolphins,1,48,30
9/29/2002,Raiders,Titans,1,52,25
9/30/2002,Ravens,Broncos,1,34,23
10/6/2002,Falcons,Buccaneers,0,6,20
10/6/2002,Panthers,Cardinals,0,13,16
10/6/2002,Titans,Redskins,0,14,31
10/6/2002,Cowboys,Giants,0,17,21
10/6/2002,Browns,Ravens,0,21,26
10/6/2002,Jets,Chiefs,0,25,29
10/6/2002,Broncos,Chargers,1,26,9
10/6/2002,Dolphins,Patriots,1,26,13
10/6/2002,Colts,Bengals,1,28,21
10/6/2002,Jaguars,Eagles,1,28,25
10/6/2002,Bills,Raiders,0,31,49
10/6/2002,Saints,Steelers,1,32,29
10/6/2002,49ers,Rams,1,37,13
10/7/2002,Bears,Packers,0,21,34
10/13/2002,Bengals,Steelers,0,7,34
10/13/2002,Giants,Falcons,0,10,17
