date,home,away,total_yards_opp_homeAvg,total_yards_homeAvg,sacks_opp_homeAvg,sacks_homeAvg,turnovers_opp_homeAvg,turnovers_homeAvg,penalties_opp_homeAvg,penalties_homeAvg
9/5/2002,Giants,49ers,279,361,0,3,1,3,5,10
9/8/2002,Bengals,Chargers,401,203,1,4,0,1,4,9
9/8/2002,Panthers,Ravens,289,265,2,2,1,0,6,6
9/8/2002,Texans,Cowboys,267,210,3,6,2,1,9,11
9/8/2002,Buccaneers,Saints,368,333,2,3,1,1,5,8
9/8/2002,Broncos,Rams,327,291,3,4,2,2,6,3
9/8/2002,Jaguars,Colts,307,343,1,1,2,2,2,5
9/8/2002,Bears,Vikings,368,368,1,1,3,2,8,4
9/8/2002,Titans,Eagles,261,328,6,1,3,4,10,6
9/8/2002,Raiders,Seahawks,186,423,3,2,0,2,13,5
9/8/2002,Redskins,Cardinals,257,442,1,1,1,1,1,7
9/8/2002,Bills,Jets,266,384,3,4,1,3,10,10
9/8/2002,Packers,Falcons,374,454,4,2,1,1,4,3
9/8/2002,Browns,Chiefs,470,411,0,1,1,1,9,4
9/8/2002,Dolphins,Lions,257,389,3,0,2,0,6,4
9/9/2002,Patriots,Steelers,283,343,5,2,5,1,13,7
9/15/2002,Ravens,Buccaneers,279,173,1,3,0,1,10,3
9/15/2002,Jets,Patriots,432,200,0,5,2,2,3,7
9/15/2002,Falcons,Bears,242,257,1,4,2,3,7,5
9/15/2002,Colts,Dolphins,342,432,1,0,1,3,11,5
9/15/2002,Seahawks,Cardinals,347,426,2,1,1,1,7,7
9/15/2002,49ers,Broncos,299,261,4,2,1,2,3,10
9/15/2002,Chiefs,Jaguars,450,336,0,1,1,2,5,5
9/15/2002,Steelers,Raiders,464,273,5,0,2,5,7,6
9/15/2002,Browns,Bengals,357,265,5,1,3,0,3,12
9/15/2002,Cowboys,Titans,333,297,3,1,1,0,6,2
9/15/2002,Rams,Giants,394,352,2,1,1,4,4,8
9/15/2002,Chargers,Texans,118,267,9,2,3,1,12,4
9/15/2002,Panthers,Lions,122,385,6,0,3,0,11,4
9/15/2002,Saints,Packers,357,357,1,1,4,2,7,9
9/15/2002,Vikings,Bills,468,449,3,5,0,3,6,8
9/16/2002,Redskins,Eagles,451,179,2,4,0,3,4,7
9/22/2002,Texans,Colts,339,204,3,4,2,2,4,9
9/22/2002,Giants,Seahawks,145,351,2,3,1,0,6,3
9/22/2002,Vikings,Panthers,370,250,3,5,2,5,6,6
9/22/2002,Cardinals,Chargers,289,297,2,3,1,3,8,2
9/22/2002,49ers,Redskins,217,366,3,2,3,1,4,5
9/22/2002,Bears,Saints,302,353,1,1,3,2,10,7
9/22/2002,Broncos,Bills,291,342,4,4,1,0,10,9
9/22/2002,Titans,Browns,403,187,3,1,4,0,7,13
9/22/2002,Dolphins,Jets,189,394,3,1,4,0,7,7
9/22/2002,Falcons,Bengals,191,306,2,1,2,0,8,7
9/22/2002,Lions,Packers,442,271,1,1,3,5,12,4
9/22/2002,Patriots,Chiefs,349,496,3,4,3,1,1,12
9/22/2002,Eagles,Cowboys,304,447,3,3,4,2,7,3
9/23/2002,Buccaneers,Rams,358,252,5,1,4,1,5,8
9/29/2002,Bengals,Buccaneers,363,168,2,3,3,2,7,4
9/29/2002,Rams,Cowboys,315,366,2,1,2,3,8,8
9/29/2002,Steelers,Browns,245,358,3,0,2,2,7,7
9/29/2002,Packers,Panthers,332,298,4,4,3,1,7,10
9/29/2002,Cardinals,Giants,263,263,1,1,3,1,10,5
9/29/2002,Chargers,Patriots,440,342,0,0,3,1,6,2
9/29/2002,Lions,Saints,357,352,3,0,3,0,6,5
9/29/2002,Jaguars,Jets,345,383,2,2,4,0,4,3
9/29/2002,Bills,Bears,240,410,0,2,0,1,5,9
9/29/2002,Eagles,Texans,242,391,7,3,3,3,11,4
9/29/2002,Seahawks,Vikings,443,381,4,0,4,1,8,4
9/29/2002,Chiefs,Dolphins,399,450,2,0,5,0,9,10
9/29/2002,Raiders,Titans,430,464,2,2,4,1,11,10
9/30/2002,Ravens,Broncos,403,230,3,1,3,2,9,9
10/6/2002,Falcons,Buccaneers,327,243,2,4,2,4,6,6
10/6/2002,Panthers,Cardinals,312,244,1,2,1,4,6,6
10/6/2002,Titans,Redskins,442,289,1,4,0,4,7,7
10/6/2002,Cowboys,Giants,316,340,2,3,2,0,6,5
10/6/2002,Browns,Ravens,409,433,0,2,1,5,7,9
