date,home,away,passing_yards_homeAvg,passing_yards_opp_homeAvg,pass_completion_rate_opp_homeAvg,pass_completion_rate_homeAvg
9/5/2002,Giants,49ers,318,166,0.615384615,0.622222222
9/8/2002,Bengals,Chargers,167,160,0.789473684,0.580645161
9/8/2002,Panthers,Ravens,120,212,0.588235294,0.631578947
9/8/2002,Texans,Cowboys,123,112,0.433333333,0.454545455
9/8/2002,Buccaneers,Saints,261,250,0.571428571,0.528301887
9/8/2002,Broncos,Rams,187,295,0.780487805,0.666666667
9/8/2002,Jaguars,Colts,225,203,0.612903226,0.611111111
9/8/2002,Bears,Vikings,288,228,0.571428571,0.606060606
9/8/2002,Titans,Eagles,267,181,0.5,0.705882353
9/8/2002,Raiders,Seahawks,202,143,0.71875,0.678571429
9/8/2002,Redskins,Cardinals,320,187,0.388888889,0.7
9/8/2002,Bills,Jets,242,193,0.8,0.666666667
9/8/2002,Packers,Falcons,273,194,0.652173913,0.694444444
9/8/2002,Browns,Chiefs,352,276,0.689655172,0.7
9/8/2002,Dolphins,Lions,207,206,0.472222222,0.666666667
9/9/2002,Patriots,Steelers,280,209,0.657894737,0.674418605
9/15/2002,Ravens,Buccaneers,118,205,0.774193548,0.421052632
9/15/2002,Jets,Patriots,168,269,0.714285714,0.545454545
9/15/2002,Falcons,Bears,135,136,0.5,0.607142857
9/15/2002,Colts,Dolphins,289,179,0.722222222,0.577777778
9/15/2002,Seahawks,Cardinals,345,98,0.454545455,0.617021277
9/15/2002,49ers,Broncos,190,98,0.736842105,0.75
9/15/2002,Chiefs,Jaguars,196,320,0.694444444,0.5
9/15/2002,Steelers,Raiders,201,369,0.661538462,0.529411765
9/15/2002,Browns,Bengals,190,201,0.553191489,0.566666667
9/15/2002,Cowboys,Titans,230,235,0.534883721,0.583333333
9/15/2002,Rams,Giants,260,291,0.846153846,0.666666667
9/15/2002,Chargers,Texans,143,29,0.24,0.535714286
9/15/2002,Panthers,Lions,310,49,0.4,0.636363636
9/15/2002,Saints,Packers,211,262,0.659090909,0.571428571
9/15/2002,Vikings,Bills,236,437,0.714285714,0.543478261
9/16/2002,Redskins,Eagles,90,283,0.684210526,0.516129032
9/22/2002,Texans,Colts,78,251,0.75,0.545454545
9/22/2002,Giants,Seahawks,257,105,0.64,0.605263158
9/22/2002,Vikings,Panthers,177,206,0.666666667,0.633333333
9/22/2002,Cardinals,Chargers,200,164,0.548387097,0.444444444
9/22/2002,49ers,Redskins,114,160,0.6,0.535714286
9/22/2002,Bears,Saints,228,229,0.647058824,0.65
9/22/2002,Broncos,Bills,179,252,0.658536585,0.612903226
9/22/2002,Titans,Browns,101,311,0.72,0.652173913
