date,home,away,redzone_sucess_opp_homeAvg,redzone_rate_opp_homeAvg,redzone_sucess_homeAvg,redzone_rate_homeAvg
9/5/2002,Giants,49ers,0,0,0,0
9/8/2002,Bengals,Chargers,0,0,0,0
9/8/2002,Panthers,Ravens,0,0,0,0
9/8/2002,Texans,Cowboys,0,0,0,0
9/8/2002,Buccaneers,Saints,0,0,0,0
9/8/2002,Broncos,Rams,0,0,0,0
9/8/2002,Jaguars,Colts,0,0,0,0
9/8/2002,Bears,Vikings,0,0,0,0
9/8/2002,Titans,Eagles,0,0,0,0
9/8/2002,Raiders,Seahawks,0,0,0,0
9/8/2002,Redskins,Cardinals,0,0,0,0
9/8/2002,Bills,Jets,0,0,0,0
9/8/2002,Packers,Falcons,0,0,0,0
9/8/2002,Browns,Chiefs,0,0,0,0
9/8/2002,Dolphins,Lions,0,0,0,0
9/9/2002,Patriots,Steelers,0,0,0,0
9/15/2002,Ravens,Buccaneers,0,0,0,0
9/15/2002,Jets,Patriots,0,0,0,0
9/15/2002,Falcons,Bears,0,0,0,0
9/15/2002,Colts,Dolphins,0,0,0,0
9/15/2002,Seahawks,Cardinals,0,0,0,0
9/15/2002,49ers,Broncos,0,0,0,0
9/15/2002,Chiefs,Jaguars,0,0,0,0
9/15/2002,Steelers,Raiders,0,0,0,0
9/15/2002,Browns,Bengals,0,0,0,0
9/15/2002,Cowboys,Titans,0,0,0,0
9/15/2002,Rams,Giants,0,0,0,0
9/15/2002,Chargers,Texans,0,0,0,0
9/15/2002,Panthers,Lions,0,0,0,0
9/15/2002,Saints,Packers,0,0,0,0
9/15/2002,Vikings,Bills,0,0,0,0
9/16/2002,Redskins,Eagles,0,0,0,0
9/22/2002,Texans,Colts,0,0,0,0
9/22/2002,Giants,Seahawks,0,0,0,0
9/22/2002,Vikings,Panthers,0,0,0,0
9/22/2002,Cardinals,Chargers,0,0,0,0
9/22/2002,49ers,Redskins,0,0,0,0
9/22/2002,Bears,Saints,0,0,0,0
9/22/2002,Broncos,Bills,0,0,0,0
9/22/2002,Titans,Browns,0,0,0,0
9/22/2002,Dolphins,Jets,0,0,0,0
9/22/2002,Falcons,Bengals,0,0,0,0
9/22/2002,Lions,Packers,0,0,0,0
9/22/2002,Patriots,Chiefs,0,0,0,0
9/22/2002,Eagles,Cowboys,0,0,0,0
9/23/2002,Buccaneers,Rams,0,0,0,0
9/29/2002,Bengals,Buccaneers,0,0,0,0
9/29/2002,Rams,Cowboys,0,0,0,0
9/29/2002,Steelers,Browns,0,0,0,0
9/29/2002,Packers,Panthers,0,0,0,0
